Player,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,MISC FL,MISC FPTS,POS,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,Player Chase McLaughlin TB,FG 2.1,FGA 2.0,XPT 2.9,FPTS 9.1,Player Denver Broncos,SACK 3.1,INT 0.8,FR 0.6,FF 1.0,TD 0.2,SAFETY 0.1,PA 17.2,YDS AGN 291.9,FPTS 8.3
Jalen Hurts PHI,27.6,19.0,218.4,1.6,0.5,8.9,40.9,0.8,0.3,23.1,QB,,,,,,,,,,,,,,,,,,
Lamar Jackson BAL,29.2,20.0,235.9,1.8,0.4,7.9,51.3,0.2,0.3,22.4,QB,,,,,,,,,,,,,,,,,,
Jayden Daniels WAS,30.8,21.1,227.3,1.6,0.5,8.5,48.1,0.4,0.1,21.8,QB,,,,,,,,,,,,,,,,,,
Josh Allen BUF,32.5,20.7,240.7,1.6,0.5,7.3,33.8,0.5,0.2,21.6,QB,,,,,,,,,,,,,,,,,,
Joe Burrow CIN,36.1,24.6,278.3,2.2,0.7,3.0,11.5,0.1,0.2,20.5,QB,,,,,,,,,,,,,,,,,,
Baker Mayfield TB,33.4,23.6,254.2,2.0,0.9,4.1,18.2,0.1,0.2,19.5,QB,,,,,,,,,,,,,,,,,,
Patrick Mahomes II KC,35.7,24.2,254.0,1.7,0.6,4.5,22.6,0.1,0.1,19.4,QB,,,,,,,,,,,,,,,,,,
Bo Nix DEN,33.5,22.3,227.8,1.7,0.5,5.5,26.4,0.2,0.1,19.1,QB,,,,,,,,,,,,,,,,,,
Kyler Murray ARI,32.4,21.5,234.4,1.4,0.8,5.5,35.7,0.3,0.2,18.9,QB,,,,,,,,,,,,,,,,,,
Trevor Lawrence JAC,30.8,20.0,237.0,1.5,0.8,3.5,17.5,0.2,0.2,17.5,QB,,,,,,,,,,,,,,,,,,
Drake Maye NE,31.0,20.6,215.8,1.5,0.8,4.4,30.2,0.2,0.3,17.2,QB,,,,,,,,,,,,,,,,,,
Brock Purdy SF,31.4,21.0,253.1,1.4,0.8,3.4,14.7,0.2,0.2,17.2,QB,,,,,,,,,,,,,,,,,,
Dak Prescott DAL,36.7,23.6,251.0,1.6,0.9,2.5,10.2,0.1,0.2,16.7,QB,,,,,,,,,,,,,,,,,,
Jordan Love GB,31.3,19.8,235.5,1.6,0.8,2.5,10.7,0.1,0.1,16.5,QB,,,,,,,,,,,,,,,,,,
Justin Fields NYJ,28.9,17.8,194.8,1.0,0.8,7.4,39.9,0.4,0.3,16.5,QB,,,,,,,,,,,,,,,,,,
Justin Herbert LAC,31.8,20.7,231.8,1.4,0.4,3.9,16.8,0.1,0.2,16.5,QB,,,,,,,,,,,,,,,,,,
J.J. McCarthy MIN,33.1,21.7,242.2,1.4,0.9,3.3,15.0,0.1,0.2,16.2,QB,,,,,,,,,,,,,,,,,,
Tua Tagovailoa MIA,34.5,24.3,255.8,1.6,0.8,1.8,5.8,0.0,0.2,16.1,QB,,,,,,,,,,,,,,,,,,
Jared Goff DET,32.9,22.6,253.4,1.6,0.8,1.7,4.0,0.0,0.2,16.0,QB,,,,,,,,,,,,,,,,,,
C.J. Stroud HOU,34.0,21.7,250.1,1.3,0.7,3.2,14.3,0.1,0.2,16.0,QB,,,,,,,,,,,,,,,,,,
Caleb Williams CHI,31.8,20.5,217.8,1.3,0.7,5.0,25.9,0.1,0.3,15.8,QB,,,,,,,,,,,,,,,,,,
Geno Smith LV,34.0,22.8,247.0,1.3,0.8,3.0,12.7,0.1,0.1,15.8,QB,,,,,,,,,,,,,,,,,,
Daniel Jones IND,30.1,18.7,204.0,1.2,0.7,5.8,27.2,0.2,0.3,15.8,QB,,,,,,,,,,,,,,,,,,
Bryce Young CAR,31.5,20.2,216.8,1.3,0.7,3.4,18.4,0.2,0.2,15.6,QB,,,,,,,,,,,,,,,,,,
Michael Penix Jr. ATL,32.1,20.8,234.7,1.3,0.8,3.2,11.1,0.2,0.2,15.5,QB,,,,,,,,,,,,,,,,,,
Matthew Stafford LAR,32.4,20.5,238.5,1.5,0.6,1.8,4.2,0.0,0.1,15.4,QB,,,,,,,,,,,,,,,,,,
Russell Wilson NYG,31.9,20.3,226.1,1.3,0.7,3.6,14.9,0.1,0.2,15.4,QB,,,,,,,,,,,,,,,,,,
Sam Darnold SEA,32.6,21.2,229.5,1.3,1.0,3.6,12.5,0.1,0.2,14.9,QB,,,,,,,,,,,,,,,,,,
Joe Flacco CLE,35.0,22.4,250.0,1.5,1.0,1.3,4.1,0.0,0.3,14.8,QB,,,,,,,,,,,,,,,,,,
Cam Ward TEN,31.0,19.7,211.9,1.1,0.8,4.1,17.1,0.1,0.2,14.1,QB,,,,,,,,,,,,,,,,,,
Aaron Rodgers PIT,33.0,21.0,222.8,1.4,0.6,1.6,5.8,0.0,0.2,14.1,QB,,,,,,,,,,,,,,,,,,
Spencer Rattler NO,31.5,19.3,209.9,1.1,0.8,3.7,19.4,0.1,0.3,13.6,QB,,,,,,,,,,,,,,,,,,
Jalen Milroe SEA,0.7,0.5,4.5,0.1,0.0,1.8,8.7,0.1,0.0,1.9,QB,,,,,,,,,,,,,,,,,,
Mason Rudolph PIT,0.7,0.5,5.1,0.0,0.0,1.4,6.3,0.1,0.0,1.3,QB,,,,,,,,,,,,,,,,,,
Jaxson Dart NYG,0.9,0.5,5.1,0.0,0.0,0.1,1.7,0.0,0.0,0.6,QB,,,,,,,,,,,,,,,,,,
Cooper Rush BAL,0.7,0.5,6.2,0.1,0.0,0.2,1.0,0.0,0.0,0.6,QB,,,,,,,,,,,,,,,,,,
Jake Browning CIN,0.9,0.6,7.2,0.1,0.0,0.1,0.5,0.0,0.0,0.6,QB,,,,,,,,,,,,,,,,,,
Marcus Mariota WAS,0.8,0.6,5.9,0.1,0.0,0.2,0.9,0.0,0.0,0.6,QB,,,,,,,,,,,,,,,,,,
Nick Mullens JAC,0.8,0.6,6.4,0.1,0.0,0.2,0.6,0.0,0.0,0.6,QB,,,,,,,,,,,,,,,,,,
Zach Wilson MIA,0.9,0.7,6.5,0.1,0.0,0.2,0.8,0.0,0.0,0.6,QB,,,,,,,,,,,,,,,,,,
Gardner Minshew II KC,0.9,0.6,6.3,0.1,0.0,0.2,0.6,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Jacoby Brissett ARI,0.8,0.6,6.0,0.1,0.0,0.2,0.8,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Carson Wentz MIN,0.9,0.6,6.7,0.1,0.1,0.2,0.7,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Joshua Dobbs NE,0.8,0.6,5.3,0.1,0.0,0.2,0.8,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Jarrett Stidham DEN,0.9,0.5,5.6,0.1,0.0,0.2,0.6,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Mac Jones SF,0.8,0.5,5.9,0.1,0.0,0.2,0.6,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Sam Howell PHI,0.6,0.4,5.1,0.1,0.0,0.2,0.9,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Malik Willis GB,0.8,0.4,5.5,0.1,0.0,0.2,0.8,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Jimmy Garoppolo LAR,0.8,0.5,6.3,0.1,0.0,0.1,0.2,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Joe Milton III DAL,0.9,0.6,6.0,0.1,0.0,0.1,0.5,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Andy Dalton CAR,0.8,0.6,5.8,0.1,0.0,0.1,0.5,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Davis Mills HOU,0.8,0.5,5.5,0.1,0.0,0.2,0.6,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Mitchell Trubisky BUF,0.8,0.5,5.5,0.1,0.0,0.2,0.6,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Kenny Pickett LV,0.9,0.6,5.7,0.1,0.0,0.1,0.5,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Kirk Cousins ATL,0.8,0.6,6.2,0.1,0.0,0.2,0.3,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Tyrod Taylor NYJ,0.8,0.5,5.0,0.1,0.0,0.1,0.5,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Tyson Bagent CHI,0.8,0.5,4.8,0.1,0.0,0.1,0.5,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Teddy Bridgewater TB,0.6,0.5,4.7,0.1,0.0,0.1,0.3,0.0,0.0,0.5,QB,,,,,,,,,,,,,,,,,,
Tyler Shough NO,0.8,0.5,4.9,0.1,0.0,0.1,0.5,0.0,0.0,0.4,QB,,,,,,,,,,,,,,,,,,
Brandon Allen TEN,0.7,0.5,4.8,0.1,0.0,0.1,0.3,0.0,0.0,0.4,QB,,,,,,,,,,,,,,,,,,
Anthony Richardson Sr. IND,0.6,0.4,4.3,0.1,0.0,0.2,0.7,0.0,0.0,0.4,QB,,,,,,,,,,,,,,,,,,
Drew Lock SEA,0.7,0.5,4.6,0.1,0.1,0.1,0.5,0.0,0.0,0.4,QB,,,,,,,,,,,,,,,,,,
Dillon Gabriel CLE,0.6,0.4,3.7,0.1,0.0,0.1,0.3,0.0,0.0,0.4,QB,,,,,,,,,,,,,,,,,,
Trey Lance LAC,0.8,0.5,5.0,0.0,0.0,0.2,0.6,0.0,0.0,0.3,QB,,,,,,,,,,,,,,,,,,
Kyle Allen DET,0.5,0.4,4.8,0.0,0.0,0.1,0.1,0.0,0.0,0.2,QB,,,,,,,,,,,,,,,,,,
Josh Johnson WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Case Keenum CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Jameis Winston NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Trevor Siemian TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Jeff Driskel LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
C.J. Beathard DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Logan Woodside PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Brett Rypien CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Easton Stick ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Tyler Huntley BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Shane Buechele BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Sam Ehlinger DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Kyle McCord PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Graham Mertz HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Quinn Ewers MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Stetson Bennett IV LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Bailey Zappe CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Skylar Thompson PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Hendon Hooker CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Chris Oladokun KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Jake Haener NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Tanner McKee PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Clayton Tune GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Riley Leonard IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Tommy DeVito NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Shedeur Sanders CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Kurtis Rourke SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Cam Miller LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,,,,,,,,,,,,,,,,,,
Saquon Barkley PHI,,,,,,20.4,105.7,0.8,0.1,17.8,RB,2.4,18.5,0.1,,,,,,,,,,,,,,,
Bijan Robinson ATL,,,,,,18.4,83.2,0.7,0.1,15.7,RB,3.5,26.3,0.1,,,,,,,,,,,,,,,
Derrick Henry BAL,,,,,,17.6,91.3,0.8,0.1,15.1,RB,1.3,10.2,0.1,,,,,,,,,,,,,,,
Jonathan Taylor IND,,,,,,19.0,89.4,0.8,0.1,15.0,RB,1.8,12.4,0.1,,,,,,,,,,,,,,,
Jahmyr Gibbs DET,,,,,,14.4,73.6,0.6,0.1,14.7,RB,3.3,27.9,0.1,,,,,,,,,,,,,,,
Christian McCaffrey SF,,,,,,14.7,69.4,0.5,0.1,14.3,RB,3.9,33.7,0.2,,,,,,,,,,,,,,,
De'Von Achane MIA,,,,,,13.6,64.9,0.5,0.1,13.7,RB,4.2,31.3,0.2,,,,,,,,,,,,,,,
Kyren Williams LAR,,,,,,18.5,77.4,0.7,0.1,13.7,RB,2.0,12.7,0.1,,,,,,,,,,,,,,,
Bucky Irving TB,,,,,,15.5,77.0,0.5,0.1,13.6,RB,2.9,21.5,0.1,,,,,,,,,,,,,,,
Josh Jacobs GB,,,,,,17.3,72.2,0.7,0.1,13.6,RB,2.4,19.8,0.1,,,,,,,,,,,,,,,
Ashton Jeanty LV,,,,,,16.0,72.1,0.5,0.1,13.1,RB,2.6,22.2,0.1,,,,,,,,,,,,,,,
Chase Brown CIN,,,,,,15.8,69.7,0.5,0.1,13.0,RB,3.3,23.9,0.1,,,,,,,,,,,,,,,
Chuba Hubbard CAR,,,,,,16.7,73.0,0.6,0.1,12.4,RB,2.4,14.3,0.1,,,,,,,,,,,,,,,
James Conner ARI,,,,,,14.5,68.0,0.5,0.1,12.2,RB,2.4,19.7,0.1,,,,,,,,,,,,,,,
Alvin Kamara NO,,,,,,13.8,58.6,0.3,0.1,11.7,RB,4.1,30.6,0.1,,,,,,,,,,,,,,,
Kenneth Walker III SEA,,,,,,15.0,60.2,0.5,0.1,11.6,RB,2.7,18.6,0.1,,,,,,,,,,,,,,,
James Cook BUF,,,,,,13.8,60.5,0.5,0.1,11.4,RB,2.2,17.3,0.1,,,,,,,,,,,,,,,
Omarion Hampton LAC,,,,,,14.1,61.1,0.5,0.1,11.1,RB,2.1,17.4,0.1,,,,,,,,,,,,,,,
TreVeyon Henderson NE,,,,,,13.8,63.4,0.4,0.1,11.1,RB,2.2,18.9,0.1,,,,,,,,,,,,,,,
Tony Pollard TEN,,,,,,16.7,67.2,0.4,0.1,10.9,RB,2.8,18.0,0.1,,,,,,,,,,,,,,,
Aaron Jones Sr. MIN,,,,,,12.7,58.2,0.3,0.1,10.4,RB,2.8,20.8,0.1,,,,,,,,,,,,,,,
Tyrone Tracy Jr. NYG,,,,,,13.2,59.8,0.3,0.1,10.2,RB,2.1,17.0,0.1,,,,,,,,,,,,,,,
Jerome Ford CLE,,,,,,12.3,55.9,0.3,0.1,10.1,RB,2.7,20.0,0.1,,,,,,,,,,,,,,,
Breece Hall NYJ,,,,,,13.4,55.3,0.3,0.1,10.1,RB,2.8,22.9,0.1,,,,,,,,,,,,,,,
Jaylen Warren PIT,,,,,,12.7,56.5,0.3,0.1,9.9,RB,3.3,22.9,0.1,,,,,,,,,,,,,,,
D'Andre Swift CHI,,,,,,14.0,56.3,0.4,0.1,9.8,RB,2.3,16.4,0.1,,,,,,,,,,,,,,,
Isiah Pacheco KC,,,,,,13.5,58.2,0.3,0.1,9.7,RB,2.2,15.5,0.1,,,,,,,,,,,,,,,
David Montgomery DET,,,,,,11.6,48.1,0.5,0.1,9.1,RB,1.7,14.0,0.0,,,,,,,,,,,,,,,
RJ Harvey DEN,,,,,,11.1,49.1,0.4,0.1,9.0,RB,2.1,16.2,0.1,,,,,,,,,,,,,,,
Jacory Croskey-Merritt WAS,,,,,,11.9,52.5,0.4,0.1,8.9,RB,1.3,11.3,0.1,,,,,,,,,,,,,,,
Travis Etienne Jr. JAC,,,,,,11.4,48.1,0.3,0.0,8.8,RB,2.3,19.1,0.1,,,,,,,,,,,,,,,
J.K. Dobbins DEN,,,,,,10.6,48.5,0.4,0.1,8.5,RB,1.9,12.4,0.1,,,,,,,,,,,,,,,
Austin Ekeler WAS,,,,,,7.9,35.5,0.4,0.1,8.3,RB,2.8,22.7,0.1,,,,,,,,,,,,,,,
Javonte Williams DAL,,,,,,12.2,47.7,0.3,0.1,8.1,RB,2.4,13.8,0.1,,,,,,,,,,,,,,,
Tank Bigsby PHI,,,,,,10.3,47.0,0.4,0.1,7.6,RB,0.7,5.7,0.0,,,,,,,,,,,,,,,
Nick Chubb HOU,,,,,,10.7,46.2,0.3,0.1,7.5,RB,1.0,7.8,0.0,,,,,,,,,,,,,,,
Zach Charbonnet SEA,,,,,,8.3,36.7,0.3,0.0,7.5,RB,2.2,15.9,0.1,,,,,,,,,,,,,,,
Rhamondre Stevenson NE,,,,,,10.3,41.6,0.3,0.1,7.4,RB,1.5,9.9,0.1,,,,,,,,,,,,,,,
Dylan Sampson CLE,,,,,,8.7,41.0,0.3,0.1,7.3,RB,1.5,12.5,0.1,,,,,,,,,,,,,,,
Jordan Mason MIN,,,,,,9.5,46.1,0.3,0.1,7.0,RB,1.0,7.4,0.0,,,,,,,,,,,,,,,
Ollie Gordon II MIA,,,,,,8.5,36.1,0.2,0.1,6.3,RB,1.3,9.4,0.1,,,,,,,,,,,,,,,
Rachaad White TB,,,,,,6.9,25.9,0.2,0.1,6.0,RB,2.4,16.8,0.1,,,,,,,,,,,,,,,
Trey Benson ARI,,,,,,8.1,37.0,0.2,0.0,5.7,RB,1.0,7.5,0.0,,,,,,,,,,,,,,,
Kaleb Johnson PIT,,,,,,7.7,33.5,0.2,0.1,5.6,RB,0.8,7.2,0.0,,,,,,,,,,,,,,,
Braelon Allen NYJ,,,,,,7.6,29.4,0.1,0.0,4.8,RB,1.0,8.0,0.0,,,,,,,,,,,,,,,
Justice Hill BAL,,,,,,4.6,18.7,0.1,0.0,4.7,RB,2.1,15.8,0.1,,,,,,,,,,,,,,,
Tyler Allgeier ATL,,,,,,6.8,29.6,0.2,0.0,4.7,RB,0.8,5.8,0.0,,,,,,,,,,,,,,,
Bhayshul Tuten JAC,,,,,,5.7,24.9,0.2,0.1,4.6,RB,1.0,8.7,0.1,,,,,,,,,,,,,,,
Rico Dowdle CAR,,,,,,5.7,25.8,0.1,0.0,4.5,RB,1.5,9.9,0.1,,,,,,,,,,,,,,,
Cam Skattebo NYG,,,,,,5.7,25.0,0.2,0.1,4.4,RB,1.0,8.6,0.0,,,,,,,,,,,,,,,
Woody Marks HOU,,,,,,4.9,20.3,0.1,0.0,4.4,RB,1.5,12.1,0.1,,,,,,,,,,,,,,,
Kareem Hunt KC,,,,,,5.8,21.7,0.2,0.0,4.4,RB,1.1,7.4,0.1,,,,,,,,,,,,,,,
Ray Davis BUF,,,,,,6.8,23.9,0.2,0.0,4.3,RB,0.7,5.7,0.1,,,,,,,,,,,,,,,
Kendre Miller NO,,,,,,6.3,25.0,0.2,0.0,4.2,RB,0.7,5.6,0.0,,,,,,,,,,,,,,,
Dameon Pierce HOU,,,,,,6.8,27.8,0.1,0.0,4.1,RB,0.7,5.6,0.0,,,,,,,,,,,,,,,
Najee Harris LAC,,,,,,5.7,22.6,0.2,0.0,4.1,RB,0.9,6.6,0.0,,,,,,,,,,,,,,,
Miles Sanders DAL,,,,,,7.4,26.0,0.1,0.0,4.1,RB,1.0,6.0,0.0,,,,,,,,,,,,,,,
Blake Corum LAR,,,,,,6.3,22.3,0.1,0.0,3.8,RB,0.8,6.1,0.0,,,,,,,,,,,,,,,
Brian Robinson Jr. SF,,,,,,6.4,24.5,0.2,0.1,3.8,RB,0.4,3.3,0.0,,,,,,,,,,,,,,,
Kyle Monangai CHI,,,,,,5.8,20.8,0.2,0.0,3.7,RB,0.6,5.4,0.0,,,,,,,,,,,,,,,
Roschon Johnson CHI,,,,,,4.3,13.5,0.2,0.0,3.7,RB,1.1,7.5,0.1,,,,,,,,,,,,,,,
Emanuel Wilson GB,,,,,,4.2,19.2,0.1,0.0,3.4,RB,0.6,4.7,0.0,,,,,,,,,,,,,,,
Devin Singletary NYG,,,,,,4.0,19.8,0.1,0.0,3.3,RB,0.8,4.9,0.0,,,,,,,,,,,,,,,
Kenneth Gainwell PIT,,,,,,4.7,17.9,0.1,0.0,3.2,RB,0.9,6.4,0.0,,,,,,,,,,,,,,,
Samaje Perine CIN,,,,,,3.1,13.4,0.1,0.1,3.0,RB,1.1,10.6,0.0,,,,,,,,,,,,,,,
DJ Giddens IND,,,,,,3.5,15.6,0.1,0.0,3.0,RB,0.6,4.9,0.0,,,,,,,,,,,,,,,
Julius Chestnut TEN,,,,,,4.3,15.8,0.1,0.0,2.9,RB,1.0,7.3,0.0,,,,,,,,,,,,,,,
Ty Johnson BUF,,,,,,2.7,11.1,0.1,0.0,2.9,RB,0.9,9.6,0.1,,,,,,,,,,,,,,,
Jeremy McNichols WAS,,,,,,3.5,16.0,0.2,0.1,2.8,RB,0.4,2.3,0.0,,,,,,,,,,,,,,,
Antonio Gibson NE,,,,,,3.3,14.2,0.1,0.0,2.8,RB,1.0,8.2,0.0,,,,,,,,,,,,,,,
Tahj Brooks CIN,,,,,,3.5,13.1,0.1,0.0,2.7,RB,0.6,5.7,0.0,,,,,,,,,,,,,,,
Zamir White LV,,,,,,4.2,15.9,0.1,0.0,2.7,RB,0.7,4.9,0.0,,,,,,,,,,,,,,,
Trevor Etienne CAR,,,,,,2.8,11.1,0.1,0.0,2.4,RB,0.6,5.4,0.0,,,,,,,,,,,,,,,
Devin Neal NO,,,,,,3.1,13.1,0.1,0.0,2.3,RB,0.4,3.1,0.0,,,,,,,,,,,,,,,
Will Shipley PHI,,,,,,2.5,12.8,0.1,0.0,2.2,RB,0.5,4.3,0.0,,,,,,,,,,,,,,,
Sean Tucker TB,,,,,,2.7,13.4,0.1,0.0,2.2,RB,0.3,2.7,0.0,,,,,,,,,,,,,,,
Isaac Guerendo SF,,,,,,3.2,11.9,0.1,0.0,2.1,RB,0.4,3.4,0.0,,,,,,,,,,,,,,,
Chris Brooks GB,,,,,,2.4,12.2,0.1,0.0,2.0,RB,0.5,3.3,0.0,,,,,,,,,,,,,,,
Tyler Badie DEN,,,,,,2.3,10.5,0.0,0.0,1.9,RB,0.6,4.1,0.0,,,,,,,,,,,,,,,
Brashard Smith KC,,,,,,2.5,10.5,0.1,0.0,1.9,RB,0.4,2.9,0.0,,,,,,,,,,,,,,,
Raheem Mostert LV,,,,,,2.0,8.0,0.0,0.0,1.8,RB,1.0,7.0,0.1,,,,,,,,,,,,,,,
Quinshon Judkins CLE,,,,,,1.5,6.4,0.1,0.0,1.7,RB,0.8,6.3,0.0,,,,,,,,,,,,,,,
Hassan Haskins LAC,,,,,,2.0,6.5,0.1,0.1,1.7,RB,0.6,4.4,0.0,,,,,,,,,,,,,,,
Emari Demercado ARI,,,,,,1.5,9.3,0.1,0.0,1.7,RB,0.5,3.7,0.0,,,,,,,,,,,,,,,
A.J. Dillon PHI,,,,,,2.3,8.3,0.1,0.0,1.4,RB,0.2,1.5,0.0,,,,,,,,,,,,,,,
Kyle Juszczyk SF,,,,,,0.3,1.4,0.0,0.1,1.3,RB,1.0,8.8,0.1,,,,,,,,,,,,,,,
Dylan Laube LV,,,,,,1.6,6.0,0.0,0.0,1.2,RB,0.4,3.1,0.0,,,,,,,,,,,,,,,
Dare Ogunbowale HOU,,,,,,1.0,4.6,0.0,0.0,1.2,RB,0.7,5.4,0.0,,,,,,,,,,,,,,,
Isaiah Davis NYJ,,,,,,1.7,7.0,0.1,0.0,1.2,RB,0.2,1.5,0.0,,,,,,,,,,,,,,,
Kimani Vidal LAC,,,,,,1.6,5.7,0.0,0.0,1.2,RB,0.3,2.9,0.1,,,,,,,,,,,,,,,
LeQuint Allen Jr. JAC,,,,,,1.0,4.9,0.1,0.0,1.0,RB,0.2,1.7,0.0,,,,,,,,,,,,,,,
Ty Chandler MIN,,,,,,1.4,6.4,0.0,0.0,1.0,RB,0.2,1.6,0.0,,,,,,,,,,,,,,,
Kalel Mullings TEN,,,,,,0.9,4.6,0.1,0.0,0.9,RB,0.1,1.3,0.0,,,,,,,,,,,,,,,
Alec Ingold MIA,,,,,,0.6,1.6,0.1,0.0,0.9,RB,0.5,3.8,0.0,,,,,,,,,,,,,,,
Raheim Sanders CLE,,,,,,1.7,4.5,0.1,0.0,0.9,RB,0.1,1.1,0.0,,,,,,,,,,,,,,,
Craig Reynolds DET,,,,,,1.0,3.7,0.0,0.0,0.6,RB,0.2,2.0,0.0,,,,,,,,,,,,,,,
George Holani SEA,,,,,,0.0,5.5,0.0,0.0,0.6,RB,0.1,1.1,0.0,,,,,,,,,,,,,,,
Hunter Luepke DAL,,,,,,0.6,2.0,0.0,0.0,0.5,RB,0.3,2.8,0.0,,,,,,,,,,,,,,,
Andrew Beck NYJ,,,,,,0.1,0.1,0.1,0.0,0.4,RB,0.2,0.6,0.0,,,,,,,,,,,,,,,
Rasheen Ali BAL,,,,,,0.3,1.2,0.0,0.0,0.3,RB,0.1,0.8,0.0,,,,,,,,,,,,,,,
Robbie Ouzts SEA,,,,,,0.0,0.0,0.0,0.0,0.2,RB,0.1,0.9,0.0,,,,,,,,,,,,,,,
Scott Matlock LAC,,,,,,0.0,0.0,0.0,0.0,0.1,RB,0.1,0.9,0.0,,,,,,,,,,,,,,,
Jakob Johnson HOU,,,,,,0.1,0.3,0.0,0.0,0.1,RB,0.1,0.4,0.0,,,,,,,,,,,,,,,
Reggie Gilliam BUF,,,,,,0.2,0.4,0.0,0.0,0.1,RB,0.0,0.1,0.0,,,,,,,,,,,,,,,
Adam Prentice DEN,,,,,,0.1,0.3,0.0,0.0,0.0,RB,0.0,0.1,0.0,,,,,,,,,,,,,,,
